timestamp,auto_state,duration_s,sample_count,avg_bus_voltage_v,avg_left_current_a,avg_right_current_a,avg_total_current_a,avg_left_power_w,avg_right_power_w,avg_total_power_w,energy_wh
2026-05-04T12:23:27,aruco_centering,7.103,7,25.446,-2.0,-0.371,2.571,50.891,14.54,65.431,0.129096
2026-05-04T12:23:31,scan_start,3.822,4,25.488,-0.425,0.1,0.525,10.832,2.549,13.381,0.014207
2026-05-04T12:23:35,bench_tracking_f,4.33,4,25.347,0.525,-2.925,3.5,14.576,74.141,88.717,0.106715
2026-05-04T12:23:42,align_center,6.624,7,25.39,-0.971,-2.171,3.143,24.665,55.122,79.787,0.146801
2026-05-04T12:23:51,aruco_centering,8.523,8,25.441,-2.275,-0.6,2.925,57.875,16.541,74.415,0.176169
2026-05-04T12:23:54,scan_start,3.668,4,25.488,-0.525,0.0,0.525,13.381,0.0,13.381,0.013634
2026-05-04T12:23:58,bench_tracking_f,4.28,4,25.348,0.625,-2.775,3.4,15.851,70.305,86.156,0.102438
2026-05-04T12:23:59,yaw_correction,0.525,1,25.42,-2.2,-1.7,3.9,55.924,43.214,99.138,0.014448
2026-05-04T12:24:05,align_center,5.879,5,25.384,-0.84,-2.4,3.24,21.347,60.902,82.248,0.134309
2026-05-04T12:24:12,aruco_centering,7.048,7,25.429,-1.557,-1.414,2.971,39.607,35.952,75.559,0.147934
2026-05-04T12:24:16,scan_start,4.212,5,25.5,-0.36,-0.34,0.7,9.18,8.671,17.851,0.020888
2026-05-04T16:39:29,manual,62.136,62,25.495,-0.216,0.458,0.826,9.365,11.667,21.032,0.363012
2026-05-04T16:39:37,bench_tracking_f,8.178,8,25.456,0.4,-1.0,1.425,10.811,25.403,36.214,0.082269
2026-05-04T16:39:40,yaw_correction,2.848,3,25.493,0.9,-0.433,1.667,22.951,19.528,42.478,0.033608
2026-05-04T16:39:47,align_center,6.85,6,25.442,-0.217,-0.85,1.8,22.461,23.29,45.751,0.08706
2026-05-04T16:40:01,aruco_centering,13.954,14,25.472,-0.421,-1.114,1.536,10.74,28.375,39.116,0.151615
2026-05-04T16:40:05,scan_start,4.387,5,25.498,0.12,-0.9,1.02,3.059,22.947,26.006,0.031691
